no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
65,318 John St #245,L3T0B1,Markham,,,788000,3,2,TOWNHOUSE
66,1 Gable Hurst Way #2611,L6B1N5,Markham,43.878956,-79.226746,788888,3,3,TOWNHOUSE
67,1 Wootten Way S #11,L3P3H7,Markham,43.877647,-79.24186,789000,3,3,TOWNHOUSE
68,8111 Yonge St #1208,L3T4V9,Markham,43.824356,-79.42541,789900,2,3,CONDO
69,50 Dunsheath Way #619,L6B1N3,Markham,,,799000,2,2,TOWNHOUSE
70,8111 Yonge St #1212,L3T4V9,Markham,,,799000,2,3,CONDO
71,4 The Carriage Way,L3T4V1,Markham,43.83166,-79.44594,799900,2,3,TOWNHOUSE
72,180 Enterprise Blvd #312,L6G0E6,Markham,43.849937,-79.32334,799900,1,1,CONDO
73,39 Galleria Pkwy #815,L3T0A6,Markham,43.8394,-79.3928,799900,2,2,CONDO
74,16 Elgin St #169,L3T4T4,Markham,,,819999,2,4,CONDO
75,312 John St #356,L3T0A7,Markham,43.8273,-79.3977,849900,3,3,TOWNHOUSE
76,53 Gordon Way,L3T5A1,Markham,43.818233,-79.39836,852000,2,3,TOWNHOUSE
77,20 Harper Way,L3T5A5,Markham,43.816166,-79.39938,869888,2,4,TOWNHOUSE
78,70 Gordon Way,L3T5A2,Markham,43.8181,-79.397766,888000,2,3,TOWNHOUSE
79,21 Woodglen Way,L3R3A8,Markham,43.8678,-79.316734,888000,2,3,TOWNHOUSE
80,119 Henderson Ave #6,L3T2L3,Markham,43.88933,-79.4912,888000,3,3,TOWNHOUSE
81,278 Buchanan Dr #603E,L3R6J1,Markham,43.85857,-79.32518,888000,2,2,CONDO
82,268 Buchanan Dr #905W,L3R8G9,Markham,,,888000,2,3,CONDO
83,7400 Markham Rd #607,L3S0C5,Markham,43.84824,-79.254295,889000,2,3,CONDO
84,7805 Bayview Ave #810,L3T7N1,Markham,43.822826,-79.398926,895000,2,2,CONDO
85,81 Roy Grove Way #88,L6E0T6,Markham,43.895477,-79.25359,898800,3,3,TOWNHOUSE
86,81 Roy Grove Way,L6E0T6,Markham,43.895477,-79.25359,898800,3,3,TOWNHOUSE
87,18 Saint Moritz Way #17,L3R4G2,Markham,43.856647,-79.343636,899000,3,3,TOWNHOUSE
88,2558 Bur Oak Ave,L6B1J7,Markham,43.92733,-79.23373,899000,3,2,TOWNHOUSE
89,66 Larksmere Ct,L3R3R1,Markham,43.826595,-79.31346,899000,3,3,SINGLE_FAMILY
90,324 Simonston Blvd,L3T4T5,Markham,43.816322,-79.35947,899000,3,3,TOWNHOUSE
91,278 Buchanan Dr #812E,L3R6J1,Markham,43.85857,-79.32518,899900,3,3,CONDO
92,278 Buchanan Dr #917E,L3R6J1,Markham,43.85857,-79.32518,899900,2,3,CONDO
93,53 Vettese Ct,L6B0V7,Markham,43.864,-79.217735,919900,3,3,TOWNHOUSE
94,1 Donald Sim Ave,L6B1B6,Markham,43.89728,-79.23455,925000,3,3,SINGLE_FAMILY
95,90 Porterfield Cres,L3T5C5,Markham,,,925888,2,3,TOWNHOUSE
96,50 Clegg Rd #LP06,L6G0C6,Markham,43.852333,-79.33918,928000,2,2,CONDO
97,1 Sun Yat Sen Ave #326,L3R5K9,Markham,,,939000,2,1,CONDO
98,1 Grandview Blvd #2607,L3P1E9,Markham,43.877,-79.26731,939900,2,2,CONDO
99,6 Augusta Drive Way,L6E1B5,Markham,,,950000,2,2,TOWNHOUSE
100,2424 Bur Oak Ave,L6B1J8,Markham,,,968888,3,3,TOWNHOUSE
101,60 Knightsbridge Way,L3P3W5,Markham,43.87993,-79.2445,989000,3,3,TOWNHOUSE
102,10 Norris Way,L3T5C1,Markham,43.81791,-79.39663,989770,2,3,CONDO
103,26 Woltner Way,L3R5Y7,Markham,43.8579,-79.326,989800,4,4,TOWNHOUSE
104,38 Old Oak Ln,L6B0K8,Markham,43.89946,-79.2234,995000,4,5,SINGLE_FAMILY
105,48 Halder Cres,L3R7G3,Markham,43.832935,-79.2921,998000,2,3,SINGLE_FAMILY
106,23 Saint Moritz Way #22,L3R4G4,Markham,43.855927,-79.34258,998000,3,3,TOWNHOUSE
107,12 Sandpiper Key Way #100,L6E1B4,Markham,43.89748,-79.2477,998000,2,2,TOWNHOUSE
108,12 Sandpiper Key Way,L6E1B4,Markham,43.89748,-79.2477,998000,2,2,TOWNHOUSE
109,8111 Yonge St #1708,L3T4V9,Markham,,,998000,2,3,CONDO
110,11 New Port Way,L3T5G3,Markham,43.8947,-79.4786,998000,3,3,TOWNHOUSE
111,79 Maple Ridge Cres,L6E1T8,Markham,43.895866,-79.25825,998888,3,3,TOWNHOUSE
112,51 Briarcrest Dr,L6C3E6,Markham,43.895836,-79.29416,998888,4,3,SINGLE_FAMILY
