no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
64,9621 Jane St W #2,L6A4G5,Vaughan,43.84195,-79.53462,925000,2,2,TOWNHOUSE
65,7601 Bathurst St #1009,L4J4H5,Vaughan,,,925000,2,2,CONDO
66,735 New Westminster Dr #14,L4J7Y9,Vaughan,43.87613,-79.45592,929000,4,3,TOWNHOUSE
67,66 William St,L4L2R8,Vaughan,,,939000,2,3,SINGLE_FAMILY
68,151 Townsgate Dr #62,L4J8J7,Vaughan,43.794888,-79.4475,939900,3,3,TOWNHOUSE
69,900 Steeles Ave W #903,L4J8C2,Vaughan,43.79256,-79.44983,949000,3,3,TOWNHOUSE
70,20 Wallace St #3,L4L2P3,Vaughan,43.78492,-79.59411,949800,4,3,TOWNHOUSE
71,735 New Westminster Dr #28,L4J7Y9,Vaughan,43.87613,-79.45592,968800,3,3,TOWNHOUSE
72,82 Timberwolf Cres,L4H2W1,Vaughan,,,978800,3,3,TOWNHOUSE
73,20 Minton Dr #9,L4L9L6,Vaughan,43.79418,-79.553535,980000,4,3,TOWNHOUSE
74,8038 Yonge St #TOWNHOUSE,L4J1W3,Vaughan,43.82314,-79.42688,988000,4,3,TOWNHOUSE
75,65 Lodgeway Dr,L6A3S4,Vaughan,43.88998,-79.515656,992000,3,3,TOWNHOUSE
76,100 Promenade Cir PENTHOUSE 2,L4J7W7,Vaughan,,,993500,2,2,CONDO
77,147 Laramie Cres,L6A0R1,Vaughan,43.85881,-79.4946,998000,4,3,SINGLE_FAMILY
78,71 New Seabury Dr,L4K2B7,Vaughan,43.797287,-79.488,998000,3,3,SINGLE_FAMILY
79,82 Bay Hill Dr,L4K1G9,Vaughan,43.79514,-79.48262,998000,3,3,SINGLE_FAMILY
80,120 Promenade Cir #909,L4J7W9,Vaughan,,,998000,2,2,CONDO
81,27 Treasure Rd,L6A2Y7,Vaughan,43.85959,-79.54531,999000,4,3,SINGLE_FAMILY
82,74 Hammerstone Cres,L4J8B4,Vaughan,43.82363,-79.45953,999000,3,3,SINGLE_FAMILY
83,9580 Weston Rd,L4H0P4,Vaughan,43.83388,-79.55858,999000,4,3,TOWNHOUSE
84,63 Cog Hill Dr,L4K1M6,Vaughan,43.789543,-79.47965,999000,3,3,SINGLE_FAMILY
85,7 Brighton Pl #TOWNHOUSE,L4J0H1,Vaughan,43.79524,-79.43834,999900,3,3,TOWNHOUSE
86,15 Abbeywood Gate,L4J8P1,Vaughan,43.814598,-79.453964,999900,4,3,TOWNHOUSE
87,95 New Seabury Dr,L4K2B7,Vaughan,,,999900,3,4,SINGLE_FAMILY
88,118 Nasir Cres,L6A3B2,Vaughan,43.866856,-79.54255,999990,4,3,SINGLE_FAMILY
89,735 New Westminster Dr #50,L4J7Y9,Vaughan,43.87613,-79.45592,999999,3,3,TOWNHOUSE
90,126 Andrea Ln,L4L1E7,Vaughan,43.812,-79.56995,1025900,3,3,SINGLE_FAMILY
91,8032 Kipling Ave #4,L4L2A1,Vaughan,43.785618,-79.59979,1079000,4,3,SINGLE_FAMILY
92,35 Gailcrest Cir,L4J5V3,Vaughan,43.8163,-79.44562,1079000,2,3,SINGLE_FAMILY
93,333 Clark Ave W #318,L4J7K4,Vaughan,43.852,-79.434875,1088000,2,2,CONDO
94,43 Glen Cres,L4J4X4,Vaughan,,,1088000,3,3,TOWNHOUSE
95,79 Lavender Pl,L4L9B2,Vaughan,,,1088880,2,3,SINGLE_FAMILY
96,170 Mabley Cres,L4J2Z8,Vaughan,43.79124,-79.456535,1099000,4,3,SINGLE_FAMILY
97,180 Blue Willow Dr #33,L4L9C9,Vaughan,43.79391,-79.55589,1099000,3,3,TOWNHOUSE
98,174 Davos Rd N,L4H3A4,Vaughan,43.833984,-79.5658,1099000,3,3,TOWNHOUSE
99,110 Promenade Cir #1410,L4J7W8,Vaughan,43.8856,-79.45533,1099018,2,2,CONDO
