,Full_Address,Bedrooms,Bathrooms,Price,City,Home_Type,Latitude,Longitude
480,"10 York St #6305, Toronto, ON M5J 0E1",2,3,2480000,Toronto,SINGLE_FAMILY,43.66318,-79.336136
481,"25 Sunfield Rd, Toronto, ON M3M 2T9",3,2,1250000,Toronto,SINGLE_FAMILY,43.744015,-79.444176
482,"79 Florence Ave, Toronto, ON M2N 1G2",3,2,2318000,Toronto,SINGLE_FAMILY,43.65887,-79.40309
483,"1 Massey Sq #1112, Toronto, ON M4C 5L4",1,1,479900,Toronto,SINGLE_FAMILY,43.644135,-79.44495
484,"25 Maitland St #1501, Toronto, ON M4Y 2W1",2,1,699000,Toronto,SINGLE_FAMILY,43.614697,-79.49529
485,"40 Amiens Rd, Toronto, ON M1E 3S8",3,2,1150000,Toronto,SINGLE_FAMILY,43.77136,-79.31736
486,"346 Leslie St, Toronto, ON M4M 3E2",3,2,1349900,Toronto,SINGLE_FAMILY,43.596058,-79.52831
487,"27 Bertmount Ave, Toronto, ON M4M 2X8",2,2,1249000,Toronto,SINGLE_FAMILY,43.662468,-79.34428
488,"328 Centennial Rd, Toronto, ON M1C 2A3",4,4,1940000,Toronto,SINGLE_FAMILY,43.647144,-79.40821
489,"264 Garden Ave, Toronto, ON M6R 1J5",4,2,1829900,Toronto,SINGLE_FAMILY,43.75702,-79.4247
490,"25 Moorefield Dr, Toronto, ON M1C 5B5",3,4,898800,Toronto,SINGLE_FAMILY,43.641087,-79.44331
491,"27 Bayview Wood, Toronto, ON M4N 1R8",4,5,6390000,Toronto,TOWNHOUSE,43.766834,-79.38011
492,"6 Minto St, Toronto, ON M4L 1B6",3,2,750000,Toronto,CONDO,43.769028,-79.38183
493,"2119 Lake Shore Blvd W #111, Toronto, ON M8V 4E8",1,1,599000,Toronto,SINGLE_FAMILY,43.67518,-79.40319
494,"236 Lisgar St, Toronto, ON M6J 3G7",3,2,1649000,Toronto,SINGLE_FAMILY,43.669754,-79.29541
495,"99 Boardwalk Dr, Toronto, ON M4L 3X9",3,4,3199999,Toronto,SINGLE_FAMILY,43.757153,-79.414154
496,"1918 Saint Clair Ave W, Toronto, ON M6N 1K1",3,2,799900,Toronto,SINGLE_FAMILY,43.66217,-79.41163
497,"223 Park Lawn Rd, Toronto, ON M8Y 3J3",3,3,1250000,Toronto,SINGLE_FAMILY,43.649364,-79.47364
498,"4673 Jane St UNIT 618, Toronto, ON M3N 2L1",2,1,295000,Toronto,SINGLE_FAMILY,43.664337,-79.50142
499,"106 Lowther Ave, Toronto, ON M5R 1E3",3,4,3295000,Toronto,CONDO,43.646015,-79.394066
500,"29 Corbett Ave, Toronto, ON M6N 1V3",3,2,999888,Toronto,CONDO,43.661564,-79.41016
501,"379 Scarborough Rd, Toronto, ON M4E 3N1",3,2,899000,Toronto,SINGLE_FAMILY,43.69011,-79.35629
502,"55 Myrtle Ave, Toronto, ON M4M 2A4",2,1,1049000,Toronto,SINGLE_FAMILY,43.687107,-79.26712
503,"46 3rd St, Toronto, ON M8V 2X8",3,3,1600000,Toronto,SINGLE_FAMILY,43.698715,-79.321945
504,"73 Pepper Tree Dr, Toronto, ON M1C 1Y5",4,4,1399900,Toronto,SINGLE_FAMILY,43.682995,-79.38849
505,"26 Livingston Rd UNIT 142, Toronto, ON M1E 4S4",4,3,875000,Toronto,SINGLE_FAMILY,43.67429,-79.30138
506,"75 Constance St, Toronto, ON M6R 1S7",4,3,1800000,Toronto,SINGLE_FAMILY,43.683514,-79.42546
507,"8 Charlotte St #3205, Toronto, ON M5V 0K4",3,3,2375000,Toronto,SINGLE_FAMILY,43.75124,-79.182396
508,"118 Yorkville Ave #703, Toronto, ON M5R 1H5",3,5,13500000,Toronto,SINGLE_FAMILY,43.66674,-79.32164
509,"80 Grandravine Dr #509, Toronto, ON M3J 1B2",3,2,488000,Toronto,SINGLE_FAMILY,43.655163,-79.47973
510,"275 Broadview Ave #40, Toronto, ON M4M 3H5",3,1,799000,Toronto,SINGLE_FAMILY,43.76778,-79.435616
511,"26 Arlene Cres, Toronto, ON M1P 3L9",5,2,899900,Toronto,SINGLE_FAMILY,43.64513,-79.54403
512,"58 Amroth Ave, Toronto, ON M4C 4H2",2,2,999000,Toronto,SINGLE_FAMILY,43.639824,-79.54689
513,"22 Falcon St, Toronto, ON M4S 2P5",5,3,1589000,Toronto,SINGLE_FAMILY,43.65872,-79.47455
514,"575 Bedford Park Ave, Toronto, ON M5M 1K4",4,6,5295000,Toronto,SINGLE_FAMILY,43.799534,-79.38433
515,"30 Grand Trunk Cres #3306, Toronto, ON M5J 3A4",2,2,899000,Toronto,SINGLE_FAMILY,43.80164,-79.14924
516,"110 Stratford Cres, Toronto, ON M4N 1C6",4,6,6695000,Toronto,SINGLE_FAMILY,43.669662,-79.40756
517,"16 Brightview Cres, Toronto, ON M1E 3Y7",3,2,949900,Toronto,CONDO,43.644062,-79.389435
518,"521 Saint Clements Ave, Toronto, ON M5N 1M3",4,4,2895000,Toronto,SINGLE_FAMILY,43.71656,-79.42753
519,"159 Dundas St E #609, Toronto, ON M5B 0A9",2,2,769900,Toronto,SINGLE_FAMILY,43.71859,-79.2321
520,"87 Aldwych Ave, Toronto, ON M4J 1X5",3,3,1749000,Toronto,SINGLE_FAMILY,43.734566,-79.35185
521,"1211 Broadview Ave, Toronto, ON M4K 2T1",3,3,1199000,Toronto,SINGLE_FAMILY,43.68059,-79.36024
522,"89 Balsam Ave, Toronto, ON M4E 3B8",4,3,3499999,Toronto,SINGLE_FAMILY,43.730057,-79.21889
523,"219 Fort York Blvd #208, Toronto, ON M5V 1B1",1,2,874888,Toronto,SINGLE_FAMILY,43.7125,-79.38364
524,"857 Willowdale Ave, Toronto, ON M2M 3B9",4,3,1599999,Toronto,SINGLE_FAMILY,43.75812,-79.44343
525,"630 Greenwood Ave #214, Toronto, ON M4J 0A8",1,1,549900,Toronto,SINGLE_FAMILY,43.665634,-79.30588
526,"363 Sammon Ave, Toronto, ON M4J 2A6",3,3,1500000,Toronto,SINGLE_FAMILY,43.669025,-79.30748
527,"56 Hickson St, Toronto, ON M6K 1T3",2,1,899999,Toronto,SINGLE_FAMILY,43.66931,-79.40399
528,"39 Mondeo Dr, Toronto, ON M1P 5B6",4,3,799800,Toronto,SINGLE_FAMILY,43.658047,-79.41325
529,"15 Dalbret Cres, Toronto, ON M1T 2X2",4,3,1088000,Toronto,SINGLE_FAMILY,43.679688,-79.51024
530,"14 Dewhurst Blvd #302, Toronto, ON M4J 3H9",1,2,999000,Toronto,SINGLE_FAMILY,43.63464,-79.54433
531,"71 W Lodge Ave, Toronto, ON M6K 2T6",4,2,1799900,Toronto,SINGLE_FAMILY,43.738327,-79.361115
532,"380 Macpherson Ave #213, Toronto, ON M4V 3E3",2,2,874900,Toronto,SINGLE_FAMILY,43.731537,-79.39549
533,"38 Poucher St, Toronto, ON M4J 2Y9",2,2,1070000,Toronto,SINGLE_FAMILY,43.673946,-79.29038
534,"30 Cedarcroft Blvd, Toronto, ON M2R 2Z5",4,3,1500000,Toronto,SINGLE_FAMILY,43.700855,-79.55876
535,"48 Follis Ave, Toronto, ON M6G 1S3",4,4,1963500,Toronto,TOWNHOUSE,43.695946,-79.39929
536,"823 Dupont St, Toronto, ON M6G 1Z7",3,3,1198000,Toronto,SINGLE_FAMILY,43.772404,-79.395706
537,"210 Victoria St UNIT 3910, Toronto, ON M5B 2R3",1,1,549900,Toronto,SINGLE_FAMILY,43.680386,-79.4216
538,"235 Grandravine Dr #402, Toronto, ON M3N 1J2",2,1,317000,Toronto,SINGLE_FAMILY,43.752785,-79.418594
539,"15 Windermere Ave #1610, Toronto, ON M6S 5A2",3,2,900000,Toronto,SINGLE_FAMILY,43.796547,-79.40136
540,"377 Ashdale Ave, Toronto, ON M4L 2Z3",3,3,1399000,Toronto,SINGLE_FAMILY,43.720333,-79.403915
541,"11 Fordham Pl, Toronto, ON M3B 1K1",4,6,4500000,Toronto,SINGLE_FAMILY,43.73757,-79.34963
542,"115 Blue Jays Way #1902, Toronto, ON M5V 0N4",3,2,1099000,Toronto,SINGLE_FAMILY,43.674374,-79.40212
543,"102 Quantrell Trl, Toronto, ON M1B 1L8",3,4,799000,Toronto,SINGLE_FAMILY,43.669956,-79.408714
544,"166 Eileen Ave, Toronto, ON M6N 1W1",3,2,1289000,Toronto,SINGLE_FAMILY,43.648857,-79.421524
545,"33 Bay St #5102, Toronto, ON M5J 2Z3",4,5,7000000,Toronto,SINGLE_FAMILY,43.66089,-79.53715
546,"3 Berner Trl, Toronto, ON M1B 1A8",3,2,1169900,Toronto,SINGLE_FAMILY,43.684116,-79.387375
547,"880 Grandview Way #1005, Toronto, ON M2N 7B2",3,3,1149000,Toronto,SINGLE_FAMILY,43.756832,-79.336914
548,"36 Wayland Ave, Toronto, ON M4E 3C7",4,2,1249000,Toronto,SINGLE_FAMILY,43.742977,-79.35155
549,"1209 Pharmacy Ave, Toronto, ON M1R 2H8",5,6,1999900,Toronto,CONDO,43.64738,-79.387276
550,"36 Charlotte St PENTHOUSE 1301, Toronto, ON M5V 3P7",1,1,729000,Toronto,SINGLE_FAMILY,43.72262,-79.39043
551,"15 Grenville St #4901, Toronto, ON M4Y 0B9",1,1,939000,Toronto,CONDO,43.66987,-79.39424
552,"29 Empire Ave, Toronto, ON M4M 2L3",3,2,1399000,Toronto,SINGLE_FAMILY,43.67603,-79.37167
553,"26 Schmirler Ter, Toronto, ON M1E 5K6",4,3,998800,Toronto,SINGLE_FAMILY,43.7552,-79.383804
554,"1131 Sandhurst Cir #141, Toronto, ON M1V 1V5",3,2,838000,Toronto,SINGLE_FAMILY,43.692516,-79.41384
555,"832 Bay St #602, Toronto, ON M5S 1Z6",2,2,848000,Toronto,SINGLE_FAMILY,43.673325,-79.409294
556,"64 Fordover Dr, Toronto, ON M1E 1V2",3,2,849900,Toronto,SINGLE_FAMILY,43.779022,-79.38617
557,"24 Glenda Rd, Toronto, ON M1M 2H4",4,3,900000,Toronto,SINGLE_FAMILY,43.673386,-79.392624
558,"200 Lotherton Ptwy #503, Toronto, ON M6B 2G9",2,1,329700,Toronto,SINGLE_FAMILY,43.71805,-79.39153
559,"30 Beechwood Ave, Toronto, ON M6N 4T1",3,2,799900,Toronto,SINGLE_FAMILY,43.736248,-79.35814
560,"271 Booth Ave, Toronto, ON M4M 2M7",3,3,2189000,Toronto,SINGLE_FAMILY,43.73727,-79.36143
561,"1896 Gerrard St E, Toronto, ON M4L 2C1",3,3,999999,Toronto,SINGLE_FAMILY,43.639954,-79.47709
562,"68 Grangeway Ave #709, Toronto, ON M1H 0A1",2,2,683900,Toronto,SINGLE_FAMILY,43.664227,-79.35923
563,"219 Donlands Ave, Toronto, ON M4J 3P9",2,2,895000,Toronto,CONDO,43.674797,-79.39515
564,"100 Frankdale Ave, Toronto, ON M4J 4A3",2,2,1089000,Toronto,SINGLE_FAMILY,43.7211,-79.38389
565,"179 Symington Ave, Toronto, ON M6P 3W5",3,3,1395000,Toronto,SINGLE_FAMILY,43.672447,-79.39353
566,"29 Bexley Cres, Toronto, ON M6N 2P6",3,2,999000,Toronto,SINGLE_FAMILY,43.760773,-79.37492
567,"117 Warden Ave, Toronto, ON M1N 2Z5",2,2,1049000,Toronto,SINGLE_FAMILY,43.71457,-79.40821
568,"92 26th St, Toronto, ON M8V 3S1",2,1,899000,Toronto,SINGLE_FAMILY,43.756275,-79.3771
569,"50 Old Kingston Rd #2104, Toronto, ON M1E 4Y1",2,1,378800,Toronto,SINGLE_FAMILY,43.699173,-79.42137
570,"106 Massey St S, Toronto, ON M6J 2T4",3,2,1850000,Toronto,SINGLE_FAMILY,43.75443,-79.38436
571,"200 Cumberland St #3005, Toronto, ON M5R 0B7",2,3,4650000,Toronto,SINGLE_FAMILY,43.71783,-79.41717
572,"26 Stamford Sq S, Toronto, ON M1L 1X3",3,2,1175000,Toronto,SINGLE_FAMILY,43.69161,-79.416306
573,"42 Bigham Cres, Toronto, ON M9C 5C6",3,2,1249900,Toronto,SINGLE_FAMILY,43.752537,-79.40051
574,"173 Ronan Ave, Toronto, ON M4N 2Y5",4,5,3499900,Toronto,SINGLE_FAMILY,43.69108,-79.375275
575,"30 Hartfield Ct, Toronto, ON M9A 3E3",4,3,1990000,Toronto,SINGLE_FAMILY,43.66248,-79.534904
576,"95 Walnut Ave, Toronto, ON M5V 2S1",3,3,1669900,Toronto,SINGLE_FAMILY,43.727764,-79.36147
577,"928 Eastern Ave, Toronto, ON M4L 1A4",4,1,799000,Toronto,SINGLE_FAMILY,43.699463,-79.41498
578,"34 Emmeline Cres, Toronto, ON M1S 1L2",3,4,1088000,Toronto,SINGLE_FAMILY,43.747513,-79.375
579,"67 Chestnut Park, Toronto, ON M4W 1W7",5,5,8000000,Toronto,CONDO,43.670856,-79.3937
580,"4 Deforest Rd, Toronto, ON M6S 1H6",3,4,2349000,Toronto,SINGLE_FAMILY,43.722214,-79.38281
581,"282 Jeffcoat Dr, Toronto, ON M9W 3E5",3,2,1189000,Toronto,SINGLE_FAMILY,43.743214,-79.38649
582,"236 Albion Rd #403, Toronto, ON M9W 6A6",3,2,599000,Toronto,SINGLE_FAMILY,43.74369,-79.41451
583,"662 Bathurst St SUITE 3, Toronto, ON M5S 2R3",3,3,2395000,Toronto,SINGLE_FAMILY,43.722034,-79.39092
584,"439 1/2 Manning Ave, Toronto, ON M6G 2V6",4,4,3299000,Toronto,SINGLE_FAMILY,43.691383,-79.42039
585,"99 The Donway W UNIT 228, Toronto, ON M3C 0N8",1,2,669000,Toronto,CONDO,43.671864,-79.39381
586,"72 Montrose Ave, Toronto, ON M6J 2T7",3,3,1949000,Toronto,SINGLE_FAMILY,43.739014,-79.38379
587,"95 Palmdale Dr, Toronto, ON M1T 1P2",4,3,699000,Toronto,SINGLE_FAMILY,43.75368,-79.3911
588,"217 Ronan Ave, Toronto, ON M4N 2Y7",3,2,1639000,Toronto,CONDO,43.671684,-79.389565
589,"26A Sandstone Ln, Toronto, ON M4J 4Z9",4,2,1285000,Toronto,SINGLE_FAMILY,43.741947,-79.38787
590,"235 Grandravine Dr #702, Toronto, ON M3N 1J2",2,1,499988,Toronto,SINGLE_FAMILY,43.73373,-79.36892
591,"18 Crestview Ave, Brampton, ON L6W 2R6",3,2,10000,Brampton,CONDO,43.74588,-79.7788
592,"39 Dufay Rd, Brampton, ON L7A 4A2",3,4,199900,Brampton,CONDO,43.717564,-79.72648
593,"21 Echoridge Dr E, Brampton, ON L7A 3L2",4,4,209900,Brampton,TOWNHOUSE,43.70263,-79.77399
594,"57 Brunswick St, Brampton, ON L6X 4Y4",3,3,229900,Brampton,CONDO,43.717564,-79.72648
595,"40 Starfish Ct, Brampton, ON L6R 2R5",3,3,229900,Brampton,CONDO,43.70866,-79.73628
596,"Hindquarter Ct, Brampton, ON L6S 2C2",4,2,280000,Brampton,SINGLE_FAMILY,43.731033,-79.72802
597,"90 Lacewood Cres, Brampton, ON L6S 3K4",3,3,349000,Brampton,SINGLE_FAMILY,43.709583,-79.75975
598,"10 Cresswell Dr, Brampton, ON L6Y 2T6",3,3,409900,Brampton,TOWNHOUSE,43.64624,-79.75892
599,"56 Laurentide Cres, Brampton, ON L6P 1Y3",4,3,474900,Brampton,SINGLE_FAMILY,43.73325,-79.75832
600,"12 Rainy Dale Rd, Brampton, ON L6V 4S7",3,4,489900,Brampton,CONDO,43.694443,-79.74975
601,"34 Morton Way, Brampton, ON L6Y 2R7",4,4,499999,Brampton,SINGLE_FAMILY,43.706276,-79.815636
602,"10 Elderwood Pl, Brampton, ON L6V 3N3",3,3,519900,Brampton,CONDO,43.694443,-79.74975
603,"27 Skelton Blvd, Brampton, ON L6V 2P7",4,3,529900,Brampton,SINGLE_FAMILY,43.68875,-79.822685
604,"34 Meadowlark Dr, Brampton, ON L6Y 4A7",3,4,549900,Brampton,CONDO,43.75881,-79.68827
605,"18 Albright Rd, Brampton, ON L6X 5C8",4,4,550000,Brampton,CONDO,43.716904,-79.74274
606,"45 Yorkland Blvd #202, Brampton, ON L6P 4B4",2,2,569900,Brampton,SINGLE_FAMILY,43.7285,-79.74124
607,"670 Ray Lawson Blvd, Brampton, ON L6Y 4X5",4,4,575000,Brampton,CONDO,43.67236,-79.829765
608,"71 Forestgrove Cir, Brampton, ON L6Z 4T4",4,4,579900,Brampton,CONDO,43.66053,-79.720215
609,"77 Maddybeth Cres, Brampton, ON L6Y 5R6",4,4,582900,Brampton,CONDO,43.689518,-79.755516
610,"9 Coin St, Brampton, ON L6Y 5R5",4,3,593529,Brampton,SINGLE_FAMILY,43.689518,-79.755516
611,"215 Queen St E #707, Brampton, ON L6W 0A9",1,1,599000,Brampton,CONDO,43.710865,-79.72512
612,"68 Alabaster Dr, Brampton, ON L6V 4G4",4,4,599888,Brampton,TOWNHOUSE,43.70825,-79.77292
613,"45 Affusion Rd, Brampton, ON L7A 5G1",4,6,599900,Brampton,TOWNHOUSE,43.723953,-79.714874
614,"60 Berkshire Sq, Brampton, ON L6Z 1N4",4,2,599900,Brampton,TOWNHOUSE,43.71467,-79.70374
615,"3 Elsmere Rd, Brampton, ON L7A 3T7",3,4,599900,Brampton,TOWNHOUSE,43.71467,-79.70374
616,"623 Brisdale Dr, Brampton, ON L7A 5B6",4,5,629900,Brampton,TOWNHOUSE,43.733448,-79.75127
617,"33 Slipneedle St, Brampton, ON L6S 6L5",4,4,639900,Brampton,CONDO,43.716736,-79.727196
618,"140 Kingswood Dr, Brampton, ON L6V 2W4",3,3,649000,Brampton,TOWNHOUSE,43.732037,-79.74951
619,"57 Hood Cres, Brampton, ON L6Y 4S7",3,3,674813,Brampton,TOWNHOUSE,43.721855,-79.71057
620,"222 Castle Oaks Cros, Brampton, ON L6P 3X2",4,5,679900,Brampton,SINGLE_FAMILY,43.72693,-79.73647
621,"168 Fleetwood Cres, Brampton, ON L6T 2E6",3,4,689000,Brampton,SINGLE_FAMILY,43.69459,-79.82244
622,"15 Sunnyvale Gate, Brampton, ON L6S 6J3",4,5,699000,Brampton,TOWNHOUSE,43.679295,-79.80828
623,"38 Dalbeattie Dr, Brampton, ON L6Y 6H6",3,3,699000,Brampton,TOWNHOUSE,43.721878,-79.725204
624,"10 Gosling St, Brampton, ON L6Y 0V2",4,5,699000,Brampton,TOWNHOUSE,43.680313,-79.72966
625,"93 Hansen Rd N #11, Brampton, ON L6V 3C8",3,1,699000,Brampton,TOWNHOUSE,43.707825,-79.72307
626,"56 Woolridge Ct, Brampton, ON L6Y 3V7",3,4,699000,Brampton,TOWNHOUSE,43.724575,-79.823524
627,"140 Hollingsworth Cir, Brampton, ON L7A 0J5",4,3,699900,Brampton,TOWNHOUSE,43.696636,-79.77313
628,"55 Yorkland Blvd UNIT 704, Brampton, ON L6P 4K9",1,2,699900,Brampton,SINGLE_FAMILY,43.729813,-79.73034
629,"5 Elverton Cres, Brampton, ON L7A 4Z4",4,4,699900,Brampton,TOWNHOUSE,43.675976,-79.7255
630,"114 Mikado Cres, Brampton, ON L6S 3R7",4,4,699900,Brampton,TOWNHOUSE,43.701313,-79.753456
631,"200 Lagerfeld Dr #127, Brampton, ON L7A 3Z1",1,1,699900,Brampton,SINGLE_FAMILY,43.720406,-79.72766
632,"42 Commuter Dr, Brampton, ON L7A 0R3",3,2,699999,Brampton,SINGLE_FAMILY,43.695137,-79.839645
633,"100 John St #1309, Brampton, ON L6W 0A8",1,1,719900,Brampton,SINGLE_FAMILY,43.735184,-79.720634
634,"15 Hapsburg Sq, Brampton, ON L6S 1Y7",3,2,730000,Brampton,TOWNHOUSE,43.736675,-79.74725
635,"7 Murray St, Brampton, ON L6X 1R6",4,4,739999,Brampton,TOWNHOUSE,43.681705,-79.84387
636,"113 Rockgarden Trl #128, Brampton, ON L6R 3N2",4,4,740000,Brampton,SINGLE_FAMILY,43.727238,-79.73203
637,"64 Acadian Hts, Brampton, ON L6Y 4H2",3,4,749000,Brampton,CONDO,43.759377,-79.68932
638,"44 Saint Dennis Rd, Brampton, ON L6R 3W7",3,3,750000,Brampton,SINGLE_FAMILY,43.727844,-79.732414
639,"28 Skegby Rd, Brampton, ON L6V 2T9",3,3,759000,Brampton,SINGLE_FAMILY,43.70692,-79.704544
640,"12 Haslemere Ave, Brampton, ON L6W 2X4",4,3,785000,Brampton,TOWNHOUSE,43.726933,-79.69785
641,"14 Margate Pl, Brampton, ON L6S 2S5",5,3,799000,Brampton,SINGLE_FAMILY,43.692265,-79.7858
642,"62 Big Moe Cres, Brampton, ON L6P 1J8",3,4,799000,Brampton,SINGLE_FAMILY,43.716118,-79.7107
643,"55 Skelton Blvd, Brampton, ON L6V 2S2",3,2,799000,Brampton,SINGLE_FAMILY,43.676296,-79.83201
644,"6 Gladstone Sq, Brampton, ON L6S 2H5",4,3,799000,Brampton,SINGLE_FAMILY,43.70406,-79.77071
645,"25 McMullen Cres, Brampton, ON L6S 3M2",3,2,799800,Brampton,SINGLE_FAMILY,43.718464,-79.73248
646,"123 Carberry Cres, Brampton, ON L6V 2G2",4,3,799888,Brampton,TOWNHOUSE,43.710014,-79.82068
647,"200 Malta Ave N #88, Brampton, ON L6Y 6H8",3,3,799900,Brampton,SINGLE_FAMILY,43.69136,-79.77048
648,"8 Massey St, Brampton, ON L6S 2W1",4,2,799900,Brampton,SINGLE_FAMILY,43.73468,-79.726295
649,"116 Tiller Trl, Brampton, ON L6X 4S8",3,4,799900,Brampton,TOWNHOUSE,43.653625,-79.76809
650,"17 Arkwright Dr, Brampton, ON L7A 0V2",4,5,799900,Brampton,SINGLE_FAMILY,43.70288,-79.76513
651,"24 Clydesdale Cir, Brampton, ON L6Y 3R3",4,4,799999,Brampton,SINGLE_FAMILY,43.69144,-79.7709
652,"122 Baronwood Ct, Brampton, ON L6V 3H7",3,2,799999,Brampton,TOWNHOUSE,43.68104,-79.84088
653,"20 Jameson Cres, Brampton, ON L6S 3W3",3,3,799999,Brampton,SINGLE_FAMILY,43.706097,-79.742676
654,"23 Lorenville Dr, Brampton, ON L6X 3A1",4,4,824900,Brampton,SINGLE_FAMILY,43.737556,-79.72432
655,"45 Yorkland Blvd #104, Brampton, ON L6P 4B4",1,2,829900,Brampton,SINGLE_FAMILY,43.736877,-79.72987
656,"38 Inglewood Dr, Brampton, ON L6W 2N2",3,2,829999,Brampton,TOWNHOUSE,43.706738,-79.77839
657,"10 Laurelcrest St, Brampton, ON L6S 5Y3",2,2,839900,Brampton,TOWNHOUSE,43.721436,-79.72516
658,"17 Heathwood Dr, Brampton, ON L7A 1Z6",3,3,849000,Brampton,SINGLE_FAMILY,43.708607,-79.75837
659,"83 River Heights Dr, Brampton, ON L6P 3B7",4,6,849000,Brampton,SINGLE_FAMILY,43.73391,-79.74219
660,"36 Culture Cres, Brampton, ON L6X 4X8",4,4,849000,Brampton,SINGLE_FAMILY,43.677406,-79.758316
661,"33 Argyle Cres, Brampton, ON L6T 1M9",3,2,849500,Brampton,SINGLE_FAMILY,43.706367,-79.74214
662,"107 Narrow Valley Cres, Brampton, ON L6R 2M5",3,4,849900,Brampton,SINGLE_FAMILY,43.678368,-79.79251
663,"7 Milford Cres, Brampton, ON L6S 3E3",5,4,849900,Brampton,SINGLE_FAMILY,43.720226,-79.80547
664,"5 Trailridge Dr, Brampton, ON L6X 4M6",3,4,850000,Brampton,SINGLE_FAMILY,43.70157,-79.7718
665,"27 Dusty Star Rd, Brampton, ON L6R 1Y2",3,3,864900,Brampton,SINGLE_FAMILY,43.71878,-79.708015
666,"158 Wexford Rd, Brampton, ON L6Z 2R1",3,4,869900,Brampton,SINGLE_FAMILY,43.69082,-79.82099
667,"22 Jingle Cres, Brampton, ON L6S 0B2",3,4,879000,Brampton,SINGLE_FAMILY,43.686,-79.812164
668,"20 Prouse Dr, Brampton, ON L6V 3A8",3,2,879900,Brampton,TOWNHOUSE,43.719788,-79.7738
669,"108 Roulette Cres, Brampton, ON L7A 4R5",5,5,879999,Brampton,SINGLE_FAMILY,43.736366,-79.72318
670,"1 Battalion Rd #40, Brampton, ON L7A 4B5",3,3,888000,Brampton,SINGLE_FAMILY,43.71154,-79.811386
671,"24 Amaryllis Dr, Brampton, ON L7A 0M4",3,4,888888,Brampton,SINGLE_FAMILY,43.71153,-79.77236
672,"32 Benmore Cres, Brampton, ON L6P 2T3",4,4,889000,Brampton,TOWNHOUSE,43.66018,-79.736565
673,"159 Brisdale Dr, Brampton, ON L7A 2Y8",4,4,897900,Brampton,SINGLE_FAMILY,43.73503,-79.78845
674,"14 Checkerberry Cres, Brampton, ON L6R 2T2",3,4,899000,Brampton,SINGLE_FAMILY,43.714592,-79.77394
675,"10 Mobray Pl, Brampton, ON L6W 4M5",5,5,899000,Brampton,SINGLE_FAMILY,43.72014,-79.75964
676,"163 Moregate Cres, Brampton, ON L6S 3K9",3,2,899000,Brampton,SINGLE_FAMILY,43.706924,-79.81693
677,"20 Grape Trl, Brampton, ON L7A 2V8",3,3,899000,Brampton,TOWNHOUSE,43.72904,-79.77366
678,"7 Stonecrop Rd, Brampton, ON L6Y 2Z3",4,6,899000,Brampton,SINGLE_FAMILY,43.722565,-79.706436
679,"54 Epsom Downs Dr, Brampton, ON L6T 1Y8",3,2,899000,Brampton,TOWNHOUSE,43.65745,-79.72695
680,"162 Archdekin Dr, Brampton, ON L6V 1Y7",4,3,899000,Brampton,SINGLE_FAMILY,43.706005,-79.753174
681,"24 Hanover Rd #1203, Brampton, ON L6S 5K8",2,2,899888,Brampton,SINGLE_FAMILY,43.69807,-79.84304
682,"33 Edenborough Dr, Brampton, ON L6T 3A2",3,2,899900,Brampton,SINGLE_FAMILY,43.710396,-79.706055
683,"76 Baybrook Rd, Brampton, ON L7A 1L9",3,4,899900,Brampton,CONDO,43.757946,-79.7575
684,"2519/47 Embleton Rd, Brampton, ON L6Y 0G1",3,1,899905,Brampton,SINGLE_FAMILY,43.771793,-79.75888
685,"84 Lesabre Cres, Brampton, ON L6P 3Z9",3,3,899999,Brampton,SINGLE_FAMILY,43.696823,-79.76586
686,"100 Belladonna Cir, Brampton, ON L6P 4B6",4,6,919990,Brampton,SINGLE_FAMILY,43.67836,-79.7724
687,"52 Addington Cres, Brampton, ON L6T 2R3",3,4,923500,Brampton,SINGLE_FAMILY,43.68969,-79.77652
688,"22 Ellen St, Brampton, ON L6V 1J6",4,3,949000,Brampton,SINGLE_FAMILY,43.705524,-79.74558
689,"27 Irene Cres, Brampton, ON L7A 2V3",3,4,949000,Brampton,SINGLE_FAMILY,43.761845,-79.71914
690,"17 Penguin Ln, Brampton, ON L6R 2C1",3,4,950000,Brampton,TOWNHOUSE,43.76871,-79.75105
691,"72 Jill Cres, Brampton, ON L6S 3J2",4,3,959000,Brampton,TOWNHOUSE,43.67606,-79.82054
692,"16 Pathmaster Rd, Brampton, ON L6P 2G8",4,4,961000,Brampton,TOWNHOUSE,43.784103,-79.66512
693,"5 Lisa St UNIT 1002, Brampton, ON L6T 4T4",3,2,969000,Brampton,SINGLE_FAMILY,43.726784,-79.789894
694,"62 Watsonbrook Dr, Brampton, ON L6R 0R3",4,4,969800,Brampton,SINGLE_FAMILY,43.67157,-79.73036
695,"52 Hall Cres, Brampton, ON L6X 3J6",4,4,969888,Brampton,SINGLE_FAMILY,43.708393,-79.81818
696,"33 Baylawn Cir, Brampton, ON L6P 2M6",4,6,979999,Brampton,SINGLE_FAMILY,43.71844,-79.70092
697,"5 Christie Dr, Brampton, ON L6Z 3H6",4,4,979999,Brampton,SINGLE_FAMILY,43.688282,-79.77542
698,"250 Sunny Meadow Blvd, Brampton, ON L6R 3Y7",3,3,989900,Brampton,SINGLE_FAMILY,43.699833,-79.7697
699,"60 Darras Ct, Brampton, ON L6T 1W7",3,2,995000,Brampton,SINGLE_FAMILY,43.73436,-79.768036
